,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament,handedness,Height
59,0.02173913,0.582278481,116.2391304,99.44444444,0.489361702,0.510638298,0.075949367,M,Andy Murray,Karen Khachanov,70,0.594936709,clay,french,R,77.95
60,0.130952381,0.617647059,0,0,0.488372093,0.511627907,0.036764706,M,Andrey Kuznetsov,Karen Khachanov,131,0.632352941,grass,wimbledon,R,77.95
61,0.141509434,0.654320988,0,0,0.458715596,0.541284404,0.030864198,M,Thiago Monteiro,Karen Khachanov,158,0.672839506,grass,wimbledon,R,77.95
62,0.169014085,0.689320388,117.056338,104.0769231,0.516666667,0.483333333,0.058252427,M,Rafael Nadal,Karen Khachanov,85,0.582524272,grass,wimbledon,R,77.95
63,0.169491525,0.59,118.3559322,95.35135135,0.508196721,0.491803279,0.04,M,Yen Hsun Lu,Karen Khachanov,93,0.61,hard,us,R,77.95
64,0.421052632,0.598425197,0,0,0.52173913,0.47826087,0.031496063,M,Adrian Mannarino,Karen Khachanov,139,0.724409449,hard,aus,R,77.95
65,0.172413793,0.522522523,113.4482759,94.36170213,0.492063492,0.507936508,0.054054054,M,Jack Sock,Karen Khachanov,99,0.567567568,hard,aus,R,77.95
66,0.084210526,0.650684932,0,0,0.476744186,0.523255814,0.02739726,M,Karen Khachanov,Nicolas Jarry,129,0.589041096,clay,french,R,77.95
67,0.106666667,0.6,0,0,0.52173913,0.47826087,0.048,M,Gilles Simon,Nicolas Jarry,97,0.552,grass,wimbledon,R,77.95
84,0.083333333,0.661417323,115.6785714,81.23684211,0.411764706,0.588235294,0.039370079,M,Fernando Verdasco,Alexander Zverev,123,0.535433071,clay,french,R,77.95
85,0.202898551,0.683168317,123.3768116,104.7241379,0.563380282,0.436619718,0.02970297,M,Evgeny Donskoy,Alexander Zverev,100,0.702970297,grass,wimbledon,R,77.95
86,0.2,0.654761905,126.7454545,106.96,0.466666667,0.533333333,0.047619048,M,Frances Tiafoe,Alexander Zverev,88,0.714285714,grass,wimbledon,R,77.95
87,0.085106383,0.661971831,123.7234043,106.1052632,0.42,0.58,0.070422535,M,Sebastian Ofner,Alexander Zverev,96,0.704225352,grass,wimbledon,R,77.95
88,0.188888889,0.666666667,124.1777778,100.9736842,0.549450549,0.450549451,0.051851852,M,Milos Raonic,Alexander Zverev,148,0.674074074,grass,wimbledon,R,77.95
89,0.070422535,0.568,123.3380282,95.34693878,0.5125,0.4875,0.04,M,Darian King,Alexander Zverev,138,0.64,hard,us,R,77.95
90,0.21,0.67114094,121.09,85.19047619,0.524271845,0.475728155,0.046979866,M,Borna Coric,Alexander Zverev,148,0.691275168,hard,us,R,77.95
91,0.184782609,0.638888889,123.9782609,97.64285714,0.494623656,0.505376344,0.069444444,M,Robin Haase,Alexander Zverev,149,0.645833333,hard,aus,R,77.95
92,0.163636364,0.555555556,123.9272727,102.5526316,0.492537313,0.507462687,0.060606061,M,Frances Tiafoe,Alexander Zverev,100,0.676767677,hard,aus,R,77.95
93,0.166666667,0.627906977,125.1759259,98.8490566,0.548076923,0.451923077,0.063953488,M,Rafael Nadal,Alexander Zverev,149,0.604651163,hard,aus,R,77.95
342,0.179487179,0.52,103.025641,88.38709677,0.534482759,0.465517241,0.066666667,M,Ernests Gulbis,Marin Cilic,90,0.773333333,clay,french,R,77.95
343,0.227272727,0.611111111,90.22727273,80.52173913,0.446428571,0.553571429,0.069444444,M,Konstantin Kravchuk,Marin Cilic,94,0.777777778,clay,french,R,77.95
344,0.210526316,0.463414634,100.7105263,86.58974359,0.433962264,0.566037736,0.06097561,M,Feliciano Lopez,Marin Cilic,92,0.646341463,clay,french,R,77.95
345,0.235294118,0.53125,109.4705882,80.30769231,0.476190476,0.523809524,0.0625,M,Kevin Anderson,Marin Cilic,40,0.65625,clay,french,R,77.95
346,0.151515152,0.485294118,78.6969697,87.13793103,0.470588235,0.529411765,0.088235294,M,Stan Wawrinka,Marin Cilic,57,0.5,clay,french,R,77.95
347,0.267857143,0.636363636,120,96.06451613,0.419354839,0.580645161,0.011363636,M,Philipp Kohlschreiber,Marin Cilic,101,0.704545455,grass,wimbledon,R,77.95
348,0.563636364,0.591397849,120.7272727,100.7272727,0.478873239,0.521126761,0.053763441,M,Florian Mayer,Marin Cilic,123,0.76344086,grass,wimbledon,R,77.95
349,0.307692308,0.619047619,122.5192308,93.48387097,0.5,0.5,0.011904762,M,Steve Johnson,Marin Cilic,112,0.761904762,grass,wimbledon,R,77.95
350,0.204545455,0.564102564,118.8863636,92.41176471,0.5,0.5,0,M,Roberto Bautista Agut,Marin Cilic,90,0.692307692,grass,wimbledon,R,77.95
351,0.31372549,0.649681529,119.4313725,98.36956522,0.482142857,0.517857143,0.057324841,M,Gilles Muller,Marin Cilic,155,0.713375796,grass,wimbledon,R,77.95
352,0.320512821,0.65,121.0128205,97.09756098,0.536082474,0.463917526,0.008333333,M,Sam Querrey,Marin Cilic,150,0.808333333,grass,wimbledon,R,77.95
353,0.092592593,0.6,122.8703704,95.54545455,0.530612245,0.469387755,0.033333333,M,Roger Federer,Marin Cilic,64,0.544444444,grass,wimbledon,R,77.95
354,0.178571429,0.533333333,120.5178571,92.0212766,0.464788732,0.535211268,0.019047619,M,Tennys Sandgren,Marin Cilic,127,0.676190476,hard,us,R,77.95
355,0.45,0.481927711,118.3,92.37837838,0.508474576,0.491525424,0.072289157,M,Florian Mayer,Marin Cilic,92,0.710843373,hard,us,R,77.95
356,0.181818182,0.553956835,115.5194805,86.03773585,0.526315789,0.473684211,0.064748201,M,Diego Schwartzman,Marin Cilic,137,0.54676259,hard,us,R,77.95
