,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament,handedness
143,0.529411765,0.48837209299999995,0.470588235,0.511627907,M,Albert Ramos Vinolas,Lukas Lacko,hard,aus,R
144,0.625,0.515151515,0.375,0.484848485,M,Dudi Sela,Lukas Lacko,hard,aus,R
145,0.454545455,0.5,0.545454545,0.5,M,Kei Nishikori,Lukas Lacko,hard,aus,R
146,0.2,0.46153846200000004,0.8,0.538461538,M,Kei Nishikori,Andrey Kuznetsov,hard,aus,R
147,0.833333333,0.519230769,0.166666667,0.480769231,M,Andy Murray,Andrey Kuznetsov,clay,french,R
148,0.333333333,0.5,0.666666667,0.5,M,Feliciano Lopez,Andrey Kuznetsov,hard,us,R
149,0.545454545,0.511627907,0.454545455,0.48837209299999995,M,Karen Khachanov,Andrey Kuznetsov,grass,wimbledon,R
150,0.545454545,0.5,0.454545455,0.5,M,Andrey Kuznetsov,Kei Nishikori,hard,aus,R
151,0.5,0.508196721,0.5,0.491803279,M,Jeremy Chardy,Kei Nishikori,hard,aus,R
152,0.6,0.47826087,0.4,0.52173913,M,Lukas Lacko,Kei Nishikori,hard,aus,R
153,0.4,0.439252336,0.6,0.560747664,M,Roger Federer,Kei Nishikori,hard,aus,R
154,0.333333333,0.5,0.666666667,0.5,M,Thanasi Kokkinakis,Kei Nishikori,clay,french,R
155,0.5,0.46,0.5,0.54,M,Jeremy Chardy,Kei Nishikori,clay,french,R
156,0.14285714300000002,0.393617021,0.857142857,0.6063829789999999,M,Hyeon Chung,Kei Nishikori,clay,french,R
157,1.0,0.525423729,0.0,0.474576271,M,Fernando Verdasco,Kei Nishikori,clay,french,R
158,0.0,0.56,0.0,0.44,M,Andy Murray,Kei Nishikori,clay,french,R
159,0.857142857,0.512820513,0.14285714300000002,0.487179487,M,Marco Cecchinato,Kei Nishikori,grass,wimbledon,R
160,0.7142857140000001,0.548387097,0.28571428600000004,0.45161290299999995,M,Sergiy Stakhovsky,Kei Nishikori,grass,wimbledon,R
161,0.4,0.511363636,0.6,0.488636364,M,Roberto Bautista Agut,Kei Nishikori,grass,wimbledon,R
162,0.333333333,0.490196078,0.666666667,0.509803922,M,Martin Klizan,Stan Wawrinka,hard,aus,R
163,0.636363636,0.425925926,0.363636364,0.574074074,M,Steve Johnson,Stan Wawrinka,hard,aus,R
164,0.625,0.507042254,0.375,0.49295774600000003,M,Viktor Troicki,Stan Wawrinka,hard,aus,R
165,0.4,0.46969697,0.6,0.53030303,M,Andreas Seppi,Stan Wawrinka,hard,aus,R
166,0.75,0.482758621,0.25,0.517241379,M,Jo Wilfried Tsonga,Stan Wawrinka,hard,aus,R
167,0.5555555560000001,0.46067415700000003,0.444444444,0.539325843,M,Roger Federer,Stan Wawrinka,hard,aus,R
168,1.0,0.62,0.0,0.38,M,Jozef Kovalik,Stan Wawrinka,clay,french,R
169,0.5625,0.5,0.4375,0.5,M,Alexandr Dolgopolov,Stan Wawrinka,clay,french,R
170,0.5,0.469387755,0.5,0.530612245,M,Fabio Fognini,Stan Wawrinka,clay,french,R
171,0.333333333,0.49367088600000003,0.666666667,0.506329114,M,Gael Monfils,Stan Wawrinka,clay,french,R
172,1.0,0.47916666700000005,0.0,0.520833333,M,Marin Cilic,Stan Wawrinka,clay,french,R
173,0.5,0.535353535,0.5,0.464646465,M,Andy Murray,Stan Wawrinka,clay,french,R
174,0.0,0.46,1.0,0.54,M,Rafael Nadal,Stan Wawrinka,clay,french,R
175,0.0,0.46969697,1.0,0.53030303,M,Daniil Medvedev,Stan Wawrinka,grass,wimbledon,R
176,0.833333333,0.5166666670000001,0.166666667,0.483333333,M,Stan Wawrinka,Martin Klizan,hard,aus,L
177,0.25,0.459770115,0.75,0.540229885,M,Laurent Lokoli,Martin Klizan,clay,french,L
178,0.6,0.513157895,0.4,0.486842105,M,Andy Murray,Martin Klizan,clay,french,L
179,0.0,0.333333333,0.0,0.666666667,M,Novak Djokovic,Martin Klizan,grass,wimbledon,L
180,1.0,0.469387755,0.0,0.530612245,M,Steve Johnson,Federico Delbonis,hard,aus,L
181,0.4,0.509803922,0.6,0.490196078,M,Konstantin Kravchuk,Federico Delbonis,clay,french,L
182,0.6,0.581395349,0.4,0.418604651,M,Federico Delbonis,Steve Johnson,hard,aus,R
183,1.0,0.5,0.0,0.5,M,Stan Wawrinka,Steve Johnson,hard,aus,R
184,0.307692308,0.5,0.692307692,0.5,M,Yuichi Sugita,Steve Johnson,clay,french,R
185,0.5,0.493333333,0.5,0.5066666670000001,M,Borna Coric,Steve Johnson,clay,french,R
186,0.8,0.513888889,0.2,0.48611111100000004,M,Dominic Thiem,Steve Johnson,clay,french,R
187,0.375,0.47272727299999995,0.625,0.527272727,M,Nicolas Almagro,Steve Johnson,hard,us,R
188,0.444444444,0.545454545,0.5555555560000001,0.454545455,M,Kyle Edmund,Steve Johnson,hard,us,R
189,0.181818182,0.46031746,0.818181818,0.53968254,M,Nicolas Kicker,Steve Johnson,grass,wimbledon,R
190,0.7,0.542168675,0.3,0.457831325,M,Radu Albot,Steve Johnson,grass,wimbledon,R
191,0.571428571,0.52,0.428571429,0.48,M,Marin Cilic,Steve Johnson,grass,wimbledon,R
192,0.5,0.436619718,0.5,0.563380282,M,Paolo Lorenzi,James Duckworth,hard,aus,R
193,0.5,0.46913580200000005,0.5,0.530864198,M,James Duckworth,Paolo Lorenzi,hard,aus,R
194,0.625,0.45918367299999996,0.375,0.540816327,M,Viktor Troicki,Paolo Lorenzi,hard,aus,R
195,0.28571428600000004,0.452830189,0.7142857140000001,0.5471698110000001,M,John Isner,Paolo Lorenzi,clay,french,R
196,0.7142857140000001,0.480769231,0.28571428600000004,0.519230769,M,Thomas Fabbiano,Paolo Lorenzi,hard,us,R
197,0.4,0.538461538,0.6,0.46153846200000004,M,Kevin Anderson,Paolo Lorenzi,hard,us,R
198,0.5,0.511363636,0.5,0.488636364,M,Horacio Zeballos,Paolo Lorenzi,grass,wimbledon,R
199,0.7142857140000001,0.547368421,0.28571428600000004,0.452631579,M,Jared Donaldson,Paolo Lorenzi,grass,wimbledon,R
200,1.0,0.50617284,0.0,0.49382716,M,Viktor Troicki,Damir Dzumhur,hard,aus,R
201,0.571428571,0.523809524,0.428571429,0.47619047600000003,M,Nicolas Kicker,Damir Dzumhur,clay,french,R
202,0.6,0.457831325,0.4,0.542168675,M,Andrey Rublev,Damir Dzumhur,hard,us,R
203,0.0,0.534883721,0.0,0.46511627899999997,M,Renzo Olivo,Damir Dzumhur,grass,wimbledon,R
204,1.0,0.546875,0.0,0.453125,M,Aljaz Bedene,Damir Dzumhur,grass,wimbledon,R
205,0.428571429,0.506329114,0.571428571,0.49367088600000003,M,Damir Dzumhur,Viktor Troicki,hard,aus,R
206,0.55,0.452380952,0.45,0.5476190479999999,M,Paolo Lorenzi,Viktor Troicki,hard,aus,R
207,0.428571429,0.485714286,0.571428571,0.514285714,M,Stan Wawrinka,Viktor Troicki,hard,aus,R
208,0.333333333,0.444444444,0.666666667,0.5555555560000001,M,Evgeny Donskoy,Viktor Troicki,clay,french,R
209,0.46153846200000004,0.5,0.538461538,0.5,M,Nikoloz Basilashvili,Viktor Troicki,clay,french,R
210,0.5,0.47916666700000005,0.5,0.520833333,M,Stefano Travaglia,Viktor Troicki,hard,us,R
211,0.666666667,0.666666667,0.333333333,0.333333333,M,Alexandr Dolgopolov,Viktor Troicki,hard,us,R
212,0.0,0.363636364,0.0,0.636363636,M,Florian Mayer,Viktor Troicki,grass,wimbledon,R
213,0.4,0.43181818200000005,0.6,0.568181818,M,Diego Schwartzman,Pablo Cuevas,hard,aus,R
214,0.28571428600000004,0.543859649,0.7142857140000001,0.456140351,M,Maxime Hamou,Pablo Cuevas,clay,french,R
215,1.0,0.5555555560000001,0.0,0.444444444,M,Nicolas Kicker,Pablo Cuevas,clay,french,R
216,0.0,0.447368421,0.0,0.552631579,M,Fernando Verdasco,Pablo Cuevas,clay,french,R
217,0.4,0.523809524,0.6,0.47619047600000003,M,Pablo Cuevas,Diego Schwartzman,hard,aus,R
218,0.2,0.447761194,0.8,0.552238806,M,Steve Darcis,Diego Schwartzman,hard,aus,R
219,0.666666667,0.509803922,0.333333333,0.490196078,M,Andrey Rublev,Diego Schwartzman,clay,french,R
220,0.0,0.52173913,1.0,0.47826087,M,Stefano Napolitano,Diego Schwartzman,clay,french,R
221,0.0,0.445652174,1.0,0.554347826,M,Novak Djokovic,Diego Schwartzman,clay,french,R
222,0.4,0.485148515,0.6,0.514851485,M,Marin Cilic,Diego Schwartzman,hard,us,R
223,0.25,0.48235294100000004,0.75,0.517647059,M,Lucas Pouille,Diego Schwartzman,hard,us,R
224,0.5,0.46666666700000003,0.5,0.533333333,M,Pablo Carreno Busta,Diego Schwartzman,hard,us,R
225,0.5,0.47916666700000005,0.5,0.520833333,M,Grigor Dimitrov,Diego Schwartzman,grass,wimbledon,R
226,0.666666667,0.5,0.333333333,0.5,M,Sam Groth,Steve Darcis,hard,aus,R
227,0.2,0.5,0.8,0.5,M,Diego Schwartzman,Steve Darcis,hard,aus,R
228,0.5,0.47297297299999996,0.5,0.527027027,M,Andreas Seppi,Steve Darcis,hard,aus,R
229,1.0,0.5490196079999999,0.0,0.450980392,M,Milos Raonic,Steve Darcis,clay,french,R
230,0.5555555560000001,0.465909091,0.444444444,0.534090909,M,Ricardas Berankis,Steve Darcis,grass,wimbledon,R
231,0.0,0.666666667,0.0,0.333333333,M,David Ferrer,Steve Darcis,grass,wimbledon,R
232,0.41176470600000004,0.523809524,0.588235294,0.47619047600000003,M,Steve Darcis,Sam Groth,hard,aus,R
233,0.5,0.529411765,0.5,0.470588235,M,Andreas Seppi,Paul Henri Mathieu,hard,aus,R
234,0.0,0.529411765,1.0,0.470588235,M,David Goffin,Paul Henri Mathieu,clay,french,R
235,0.515151515,0.5,0.484848485,0.5,M,Paul Henri Mathieu,Andreas Seppi,hard,aus,R
236,0.4375,0.45348837200000003,0.5625,0.546511628,M,Nick Kyrgios,Andreas Seppi,hard,aus,R
237,0.545454545,0.48611111100000004,0.454545455,0.513888889,M,Steve Darcis,Andreas Seppi,hard,aus,R
238,0.333333333,0.5476190479999999,0.666666667,0.452380952,M,Stan Wawrinka,Andreas Seppi,hard,aus,R
239,0.454545455,0.543859649,0.545454545,0.456140351,M,Santiago Giraldo,Andreas Seppi,clay,french,R
240,0.75,0.565217391,0.25,0.434782609,M,Fabio Fognini,Andreas Seppi,clay,french,R
241,0.7142857140000001,0.541666667,0.28571428600000004,0.45833333299999995,M,Norbert Gombos,Andreas Seppi,grass,wimbledon,R
242,0.7,0.469387755,0.3,0.530612245,M,Kevin Anderson,Andreas Seppi,grass,wimbledon,R
243,0.5,0.588235294,0.5,0.41176470600000004,M,Nick Kyrgios,Gastao Elias,hard,aus,R
244,0.6,0.523809524,0.4,0.47619047600000003,M,Kyle Edmund,Gastao Elias,clay,french,R
245,0.28571428600000004,0.37837837799999996,0.7142857140000001,0.621621622,M,Gastao Elias,Nick Kyrgios,hard,aus,R
246,0.518518519,0.508474576,0.481481481,0.491525424,M,Andreas Seppi,Nick Kyrgios,hard,aus,R
247,0.7,0.514705882,0.3,0.485294118,M,Philipp Kohlschreiber,Nick Kyrgios,clay,french,R
248,0.6875,0.529411765,0.3125,0.470588235,M,Kevin Anderson,Nick Kyrgios,clay,french,R
249,0.46666666700000003,0.52173913,0.533333333,0.47826087,M,John Millman,Nick Kyrgios,hard,us,R
250,0.666666667,0.473684211,0.333333333,0.526315789,M,Pierre Hugues Herbert,Nick Kyrgios,grass,wimbledon,R
251,0.42105263200000004,0.428571429,0.578947368,0.571428571,M,Thiago Monteiro,Jo Wilfried Tsonga,hard,aus,R
