,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
99,0.09375,0.5818181818181818,112.890625,86.46666666666667,0.5671641791044776,0.43283582089552236,0.00909090909090909,M,Grigor Dimitrov,Christopher O'Connell,81,0.6090909090909091,hard,aus
100,0.06363636363636363,0.7142857142857143,0.0,0.0,0.48484848484848486,0.5151515151515151,0.012987012987012988,M,Carlos Berlocq,Radu Albot,152,0.6428571428571429,hard,aus
101,0.18478260869565216,0.5859872611464968,0.0,0.0,0.5288461538461539,0.47115384615384615,0.03184713375796178,M,Radu Albot,Carlos Berlocq,159,0.6624203821656051,hard,aus
102,0.14285714285714285,0.6282051282051282,112.28571428571429,86.92307692307692,0.43478260869565216,0.5652173913043478,0.038461538461538464,M,Richard Gasquet,Blake Mott,70,0.5897435897435898,hard,aus
103,0.03773584905660377,0.6463414634146342,103.30188679245283,87.53571428571429,0.43103448275862066,0.5689655172413793,0.012195121951219513,M,Blake Mott,Richard Gasquet,90,0.7073170731707317,hard,aus
104,0.27906976744186046,0.5512820512820513,0.0,0.0,0.5254237288135594,0.4745762711864407,0.02564102564102564,M,Santiago Giraldo,Kyle Edmund,95,0.7564102564102564,hard,aus
105,0.125,0.5647058823529412,0.0,0.0,0.5102040816326531,0.4897959183673469,0.047058823529411764,M,Kyle Edmund,Santiago Giraldo,68,0.5764705882352941,hard,aus
106,0.1794871794871795,0.6554621848739496,0.0,0.0,0.4375,0.5625,0.01680672268907563,M,Ivan Dodig,Denis Istomin,126,0.6722689075630253,hard,aus
107,0.1076923076923077,0.5752212389380531,0.0,0.0,0.5074626865671642,0.4925373134328358,0.09734513274336283,M,Denis Istomin,Ivan Dodig,106,0.5929203539823009,hard,aus
108,0.09090909090909091,0.5188679245283019,113.94545454545455,95.8913043478261,0.4528301886792453,0.5471698113207547,0.04716981132075472,M,Novak Djokovic,Fernando Verdasco,85,0.5,hard,aus
109,0.034482758620689655,0.6170212765957447,113.93103448275862,92.47058823529412,0.45161290322580644,0.5483870967741935,0.02127659574468085,M,Fernando Verdasco,Novak Djokovic,115,0.6595744680851063,hard,aus
110,0.20454545454545456,0.6376811594202898,114.61363636363636,86.56521739130434,0.47058823529411764,0.5294117647058824,0.028985507246376812,M,Andrey Rublev,Andy Murray,83,0.7391304347826086,hard,aus
111,0.07407407407407407,0.4153846153846154,117.62962962962963,94.51428571428572,0.48484848484848486,0.5151515151515151,0.046153846153846156,M,Andy Murray,Andrey Rublev,51,0.5076923076923077,hard,aus
112,0.014705882352941176,0.68,100.04411764705883,87.75,0.5769230769230769,0.4230769230769231,0.04,M,Sam Querrey,Alex De Minaur,77,0.52,hard,aus
113,0.1956521739130435,0.5168539325842697,118.19565217391305,93.29411764705883,0.453125,0.546875,0.10112359550561797,M,Alex De Minaur,Sam Querrey,112,0.7191011235955056,hard,aus
114,0.2097902097902098,0.7044334975369458,115.57342657342657,96.17857142857143,0.4788732394366197,0.5211267605633803,0.019704433497536946,M,Mischa Zverev,John Isner,204,0.6995073891625616,hard,aus
115,0.15503875968992248,0.6056338028169014,101.59689922480621,84.98591549295774,0.5165562913907285,0.48344370860927155,0.06103286384976526,M,John Isner,Mischa Zverev,212,0.7089201877934272,hard,aus
116,0.16666666666666666,0.5853658536585366,0.0,0.0,0.5370370370370371,0.46296296296296297,0.04878048780487805,M,Alexander Bublik,Malek Jaziri,102,0.6585365853658537,hard,aus
117,0.3,0.5434782608695652,0.0,0.0,0.4318181818181818,0.5681818181818182,0.043478260869565216,M,Malek Jaziri,Alexander Bublik,72,0.4782608695652174,hard,aus
118,0.3125,0.64,120.54166666666667,93.28,0.5254237288135594,0.4745762711864407,0.02666666666666667,M,Ryan Harrison,Tomas Berdych,120,0.7866666666666666,hard,aus
119,0.08823529411764706,0.5271317829457365,112.20588235294117,100.08,0.5294117647058824,0.47058823529411764,0.08527131782945736,M,Tomas Berdych,Ryan Harrison,84,0.5271317829457365,hard,aus
120,0.03508771929824561,0.5588235294117647,112.66666666666667,99.97619047619048,0.515625,0.484375,0.029411764705882353,M,Roger Federer,Noah Rubin,96,0.6274509803921569,hard,aus
121,0.23880597014925373,0.5982142857142857,114.22388059701493,92.62790697674419,0.4875,0.5125,0.017857142857142856,M,Noah Rubin,Roger Federer,118,0.7142857142857143,hard,aus
122,0.12121212121212122,0.559322033898305,0.0,0.0,0.5205479452054794,0.4794520547945205,0.00847457627118644,M,Dudi Sela,Lukas Lacko,113,0.6186440677966102,hard,aus
123,0.07352941176470588,0.6938775510204082,0.0,0.0,0.46551724137931033,0.5344827586206896,0.05102040816326531,M,Lukas Lacko,Dudi Sela,103,0.5918367346938775,hard,aus
124,0.09259259259259259,0.574468085106383,116.33333333333333,100.97142857142858,0.5,0.5,0.05319148936170213,M,Kei Nishikori,Jeremy Chardy,80,0.5106382978723404,hard,aus
125,0.03278688524590164,0.6931818181818182,104.0,83.96296296296296,0.5178571428571429,0.48214285714285715,0.0,M,Jeremy Chardy,Kei Nishikori,102,0.6363636363636364,hard,aus
126,0.2037037037037037,0.6136363636363636,116.33333333333333,94.73333333333333,0.5151515151515151,0.48484848484848486,0.045454545454545456,M,Steve Johnson,Stan Wawrinka,101,0.75,hard,aus
127,0.09090909090909091,0.7096774193548387,111.57575757575758,95.48148148148148,0.5517241379310345,0.4482758620689655,0.0,M,Stan Wawrinka,Steve Johnson,80,0.6236559139784946,hard,aus
128,0.08163265306122448,0.6125,107.16326530612245,82.33333333333333,0.52,0.48,0.05,M,Viktor Troicki,Paolo Lorenzi,155,0.625,hard,aus
129,0.23809523809523808,0.5454545454545454,111.5,86.734375,0.4444444444444444,0.5555555555555556,0.03896103896103896,M,Paolo Lorenzi,Viktor Troicki,159,0.6428571428571429,hard,aus
130,0.07462686567164178,0.5677966101694916,0.0,0.0,0.4857142857142857,0.5142857142857142,0.0423728813559322,M,Steve Darcis,Diego Schwartzman,111,0.5932203389830508,hard,aus
131,0.0625,0.7017543859649122,0.0,0.0,0.4794520547945205,0.5205479452054794,0.0,M,Diego Schwartzman,Steve Darcis,121,0.6403508771929824,hard,aus
