ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
0.5,0.425,0.5,0.575,F,Varvara Lepchenko,Kiki Bertens,hard,aus
0.5,0.441176471,0.5,0.558823529,F,Kiki Bertens,Varvara Lepchenko,hard,aus
0,0.5,1,0.5,F,Rebecca Sramkova,Ying Ying Duan,hard,aus
0.5,0.222222222,0.5,0.777777778,F,Ying Ying Duan,Rebecca Sramkova,hard,aus
0.285714286,0.452380952,0.714285714,0.547619048,F,Kurumi Nara,Stefanie Voegele,hard,aus
0,0.428571429,0,0.571428571,F,Stefanie Voegele,Kurumi Nara,hard,aus
0,0.5,1,0.5,F,Venus Williams,Kateryna Kozlova,hard,aus
0,0.454545455,1,0.545454545,F,Kateryna Kozlova,Venus Williams,hard,aus
1,0.5,0,0.5,F,Galina Voskoboeva,Elina Svitolina,hard,aus
1,0.46875,0,0.53125,F,Elina Svitolina,Galina Voskoboeva,hard,aus
1,0.571428571,0,0.428571429,F,Julia Boserup,Francesca Schiavone,hard,aus
0.666666667,0.363636364,0.333333333,0.636363636,F,Francesca Schiavone,Julia Boserup,hard,aus
0,0.43902439,1,0.56097561,F,Natalia Vikhlyantseva,Vania King,hard,aus
1,0.538461538,0,0.461538462,F,Vania King,Natalia Vikhlyantseva,hard,aus
0,0.52173913,1,0.47826087,F,Anastasia Pavlyuchenkova,Evgeniya Rodina,hard,aus
0.666666667,0.475,0.333333333,0.525,F,Evgeniya Rodina,Anastasia Pavlyuchenkova,hard,aus
0.5,0.4625,0.5,0.5375,F,Jelena Jankovic,Laura Siegemund,hard,aus
0.5,0.480769231,0.5,0.519230769,F,Laura Siegemund,Jelena Jankovic,hard,aus
0.333333333,0.50877193,0.666666667,0.49122807,F,Julia Goerges,Katerina Siniakova,hard,aus
0.285714286,0.468085106,0.714285714,0.531914894,F,Katerina Siniakova,Julia Goerges,hard,aus
0,0.583333333,0,0.416666667,F,Jaimee Fourlis,Anna Tatishvili,hard,aus
1,0.433333333,0,0.566666667,F,Anna Tatishvili,Jaimee Fourlis,hard,aus
0,0.44,0,0.56,F,Svetlana Kuznetsova,nan,hard,aus
0,0.464285714,1,0.535714286,F,nan,Svetlana Kuznetsova,hard,aus
0.2,0.315789474,0.8,0.684210526,F,Sara Sorribes Tormo,Karolina Pliskova,hard,aus
