1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0.102272727,0.606896552,0,0,0.494382022,0.505617978,0.006896552,M,Ricardas Berankis,Steve Darcis,148,0.613793103,grass,wimbledon
0.030612245,0.662162162,0,0,0.528089888,0.471910112,0.040540541,M,Steve Darcis,Ricardas Berankis,145,0.601351351,grass,wimbledon
0.045454545,0.6,0,0,0.486111111,0.513888889,0.045454545,M,Ryan Harrison,Borna Coric,107,0.654545455,grass,wimbledon
0.280701754,0.518181818,0,0,0.573333333,0.426666667,0.045454545,M,Borna Coric,Ryan Harrison,113,0.681818182,grass,wimbledon
0.220779221,0.719626168,119.5324675,98,0.532467532,0.467532468,0.018691589,M,Tomas Berdych,Jeremy Chardy,102,0.719626168,grass,wimbledon
0.1875,0.576576577,121.28125,101.0227273,0.476744186,0.523255814,0.027027027,M,Jeremy Chardy,Tomas Berdych,116,0.774774775,grass,wimbledon
0.137254902,0.6,115.4705882,98.72727273,0.485294118,0.514705882,0.011764706,M,Daniel Brands,Gael Monfils,99,0.8,grass,wimbledon
0.068493151,0.83908046,117.9315068,102.5833333,0.553571429,0.446428571,0.022988506,M,Gael Monfils,Daniel Brands,73,0.643678161,grass,wimbledon
0.166666667,0.494845361,112.1875,97.61363636,0.507246377,0.492753623,0.051546392,M,Alexander Ward,Kyle Edmund,115,0.711340206,grass,wimbledon
0.044117647,0.660194175,109.75,91.76666667,0.473684211,0.526315789,0.048543689,M,Kyle Edmund,Alexander Ward,85,0.553398058,grass,wimbledon
0.044117647,0.693877551,0,0,0.485294118,0.514705882,0.020408163,M,Brydan Klein,Yuichi Sugita,106,0.693877551,grass,wimbledon
0.113207547,0.588888889,0,0,0.5,0.5,0.066666667,M,Yuichi Sugita,Brydan Klein,82,0.577777778,grass,wimbledon
0.176470588,0.666666667,0,0,0.462686567,0.537313433,0.019607843,M,Feliciano Lopez,Adrian Mannarino,117,0.656862745,grass,wimbledon
0.244897959,0.475728155,0,0,0.58490566,0.41509434,0.058252427,M,Adrian Mannarino,Feliciano Lopez,88,0.514563107,grass,wimbledon
0.186813187,0.728,118.967033,97.41935484,0.443181818,0.556818182,0.024,M,Thanasi Kokkinakis,Juan Martin Del Potro,133,0.704,grass,wimbledon
0.219178082,0.565891473,120.5205479,99.19607843,0.535714286,0.464285714,0.03875969,M,Juan Martin Del Potro,Thanasi Kokkinakis,121,0.651162791,grass,wimbledon
0.159090909,0.656716418,0,0,0.468085106,0.531914894,0.059701493,M,Victor Estrella Burgos,Ernests Gulbis,86,0.701492537,grass,wimbledon
0,0.588235294,0,0,0.379310345,0.620689655,0.102941176,M,Ernests Gulbis,Victor Estrella Burgos,49,0.426470588,grass,wimbledon
0.2,0.67961165,0,0,0.5,0.5,0.048543689,M,Ernesto Escobedo,Adam Pavlasek,131,0.737864078,grass,wimbledon
0.04109589,0.57480315,0,0,0.472222222,0.527777778,0.047244094,M,Adam Pavlasek,Ernesto Escobedo,99,0.566929134,grass,wimbledon
0,0.636363636,106.8095238,91.2,0.588235294,0.411764706,0.060606061,M,Novak Djokovic,Martin Klizan,25,0.515151515,grass,wimbledon
0.260869565,0.696969697,107.9130435,85.375,0.52,0.48,0.060606061,M,Martin Klizan,Novak Djokovic,41,0.757575758,grass,wimbledon
0.290322581,0.46969697,118.0967742,90.87878788,0.5,0.5,0.03030303,M,Dustin Brown,Andy Murray,92,0.787878788,grass,wimbledon
0.085106383,0.540229885,115.5744681,105.1388889,0.510638298,0.489361702,0.045977011,M,Andy Murray,Dustin Brown,61,0.540229885,grass,wimbledon
0.126582278,0.752380952,116.1265823,104.0416667,0.507692308,0.492307692,0.019047619,M,Fabio Fognini,Jiri Vesely,83,0.619047619,grass,wimbledon
0.186440678,0.67816092,111.7118644,96.76923077,0.52173913,0.47826087,0.022988506,M,Jiri Vesely,Fabio Fognini,109,0.793103448,grass,wimbledon
0.14,0.555555556,0,0,0.537037037,0.462962963,0.055555556,M,Benoit Paire,Pierre Hugues Herbert,84,0.6,grass,wimbledon
0.115384615,0.530612245,0,0,0.441176471,0.558823529,0.06122449,M,Pierre Hugues Herbert,Benoit Paire,104,0.693877551,grass,wimbledon
0.158536585,0.635658915,120.1097561,96.33333333,0.478723404,0.521276596,0.015503876,M,Lucas Pouille,Jerzy Janowicz,133,0.728682171,grass,wimbledon
0.236842105,0.571428571,116.1842105,93.4,0.489361702,0.510638298,0.052631579,M,Jerzy Janowicz,Lucas Pouille,129,0.706766917,grass,wimbledon
0.254901961,0.653846154,111.8039216,91.8,0.576271186,0.423728814,0.025641026,M,Simone Bolelli,Jo Wilfried Tsonga,106,0.756410256,grass,wimbledon
0.015151515,0.680412371,115.2272727,92.23333333,0.46,0.54,0.010309278,M,Jo Wilfried Tsonga,Simone Bolelli,69,0.515463918,grass,wimbledon
0.082191781,0.629310345,98.52054795,84.5,0.555555556,0.444444444,0.025862069,M,Sam Querrey,Nikoloz Basilashvili,92,0.620689655,grass,wimbledon
0.516129032,0.666666667,113.7903226,85.51612903,0.479452055,0.520547945,0,M,Nikoloz Basilashvili,Sam Querrey,117,0.784946237,grass,wimbledon
0.301886792,0.646341463,0,0,0.514285714,0.485714286,0.012195122,M,Andreas Seppi,Kevin Anderson,94,0.853658537,grass,wimbledon
0.204081633,0.620253165,0,0,0.509090909,0.490909091,0.025316456,M,Kevin Anderson,Andreas Seppi,67,0.696202532,grass,wimbledon
0.090909091,0.698412698,0,0,0.488372093,0.511627907,0.023809524,M,Daniil Medvedev,Ruben Bemelmans,150,0.682539683,grass,wimbledon
